|rknn|,knn,rknn
13,"[(0.9999897240198378, 8831), (0.9999781956751659, 5219), (0.9999599942755052, 6416), (0.999958369780862, 7792), (0.9999548170946831, 4255), (0.9999424728884618, 1609), (0.9999414669653605, 1151), (0.9999365900893246, 4466), (0.9999359829516098, 2661), (0.9999357120580826, 5599)]","[1151, 1609, 3785, 4255, 4466, 5085, 5219, 5599, 6416, 7562, 7792, 8831, 9525]"
7,"[(0.9999806431325434, 5627), (0.9998939278678066, 3418), (0.999889476283993, 3028), (0.9998778399233768, 5552), (0.9998640077108654, 6583), (0.9998552497696764, 9116), (0.9998418133132742, 1246), (0.9998094154806088, 2507), (0.9997931883608645, 895), (0.9997621194689891, 1164)]","[1246, 3028, 3418, 5552, 5627, 6583, 9116]"
15,"[(0.9999947647647015, 193), (0.9999893648910728, 3162), (0.9999859236026728, 2180), (0.9999823242898052, 6138), (0.9999632337975749, 6717), (0.9999399535366513, 7381), (0.9999263543862913, 1849), (0.9999234100311947, 8172), (0.9999080877608864, 1593), (0.9999050096332373, 1610)]","[183, 193, 1593, 1610, 1849, 2180, 2749, 3162, 5701, 6138, 6717, 7099, 7381, 8172, 8452]"
10,"[(0.9999992315941509, 4318), (0.9999985560596821, 4699), (0.9999625203212956, 5832), (0.9999599556613414, 7351), (0.9999545486668422, 8692), (0.9999391931214273, 2569), (0.999923606371902, 9047), (0.999922760205169, 4836), (0.9999069018695939, 7647), (0.9998895496417143, 5857)]","[2569, 4318, 4557, 4699, 5832, 5857, 7351, 7647, 8692, 9047]"
10,"[(0.9999919054882502, 7224), (0.999989733381763, 7655), (0.9999780404067165, 3985), (0.9999758224658785, 3096), (0.9999749672485431, 4755), (0.9999655216457286, 2658), (0.9999378064839123, 9424), (0.9999374277968825, 6394), (0.9999326200336552, 5480), (0.999931120963721, 3796)]","[2658, 3096, 3796, 3985, 4755, 5480, 6394, 7224, 7655, 9424]"
11,"[(0.9999741428557287, 470), (0.9999574445486239, 4956), (0.9999009711635596, 3285), (0.9998911451007787, 6775), (0.9998529427254893, 7999), (0.999782243974378, 6444), (0.9997761366992992, 1677), (0.9997686982059086, 817), (0.9997111327287653, 4400), (0.999645632499202, 6237)]","[470, 851, 1677, 3285, 4400, 4639, 4956, 6444, 6775, 7501, 7999]"
7,"[(0.9999723452317786, 929), (0.9999565810119316, 3530), (0.9998748304263859, 5886), (0.9998063624438625, 7768), (0.9997999831673722, 6153), (0.9997600125825019, 2931), (0.9997205041971919, 6864), (0.9996088365770316, 4517), (0.9995458772973077, 2168), (0.9995289848272043, 807)]","[929, 2931, 3530, 5886, 6153, 6864, 7768]"
11,"[(0.9999965340293652, 1958), (0.9999827527086771, 8947), (0.999963930796735, 6217), (0.9999470396466615, 4728), (0.9998812302670944, 8727), (0.9997715445027698, 5152), (0.9997673118543042, 4503), (0.9997390123343627, 7838), (0.9997291494361373, 3381), (0.9996602670776645, 3062)]","[1958, 3062, 3381, 4503, 4728, 5152, 6217, 7838, 8727, 8947, 8987]"
13,"[(0.9999911654257111, 2978), (0.9999860660668212, 2187), (0.9999780376576406, 1928), (0.9999572590753576, 904), (0.9999549217190724, 1365), (0.9999512978747815, 8126), (0.9999180559860271, 7696), (0.9999082151076399, 6409), (0.9999036013086032, 327), (0.9998836636073187, 8070)]","[327, 904, 1365, 1928, 2187, 2978, 3723, 3906, 5051, 7696, 8070, 8126, 8432]"
12,"[(0.9999977348676548, 755), (0.9999479342986929, 9967), (0.9999335283936834, 1549), (0.9999325996894185, 1088), (0.9999078203426535, 6130), (0.999905607457364, 7123), (0.9998932920679494, 5194), (0.9998780280031522, 7829), (0.9998684755783132, 6799), (0.9998602510589124, 6712)]","[755, 1088, 1549, 1993, 3435, 6130, 6612, 6712, 8200, 8210, 9733, 9967]"
