minEps,maxEps,|rknn|,knn,rknn
0.9209867715409364,0.9329944547134937,2,"[(0.9329944547134937, 1), (0.9209867715409364, 2)]","[1, 2]"
0.755383074611918,0.9329944547134937,1,"[(0.9329944547134937, 0), (0.755383074611918, 2)]",[0]
0.8505889646621201,0.9209867715409364,4,"[(0.9209867715409364, 0), (0.8505889646621201, 7)]","[0, 1, 5, 7]"
0.9918892774760029,0.996449872195399,2,"[(0.996449872195399, 8), (0.9918892774760029, 9)]","[8, 9]"
0.9791388518024032,0.9903016282587419,0,"[(0.9903016282587419, 9), (0.9791388518024032, 8)]",[]
0.8122009569377991,0.8209806157354615,3,"[(0.8209806157354615, 6), (0.8122009569377991, 2)]","[6, 7, 11]"
0.66543438077634,0.8209806157354615,1,"[(0.8209806157354615, 5), (0.66543438077634, 11)]",[5]
0.7625772285966462,0.8505889646621201,3,"[(0.8505889646621201, 2), (0.7625772285966462, 5)]","[2, 10, 11]"
0.9931109218979798,0.996449872195399,3,"[(0.996449872195399, 3), (0.9931109218979798, 9)]","[3, 4, 9]"
0.9918892774760029,0.9931109218979798,3,"[(0.9931109218979798, 8), (0.9918892774760029, 3)]","[3, 4, 8]"
0.2568370986920333,0.28481012658227844,0,"[(0.28481012658227844, 11), (0.2568370986920333, 7)]",[]
0.7095926412614981,0.7124681933842237,2,"[(0.7124681933842237, 5), (0.7095926412614981, 7)]","[6, 10]"
