x,y,class,TypeId,ClId
660.976,304.225,0,0,0
636.213,306.174,0,0,0
662.753,307.565,0,0,0
657.487,307.74,0,0,0
635.273,308.157,0,0,0
640.484,309.592,0,0,0
660.523,309.613,0,0,0
658.759,312.594,0,0,0
674.821,315.093,0,0,0
649.17,316.174,0,1,0
631.858,316.908,0,1,0
673.506,317.648,0,1,0
637.439,318.289,0,1,0
644.003,320.565,0,1,0
622.679,320.843,0,0,0
655.504,320.916,0,1,0
626.318,321.78,0,0,0
633.245,322.492,0,1,0
678.36,323.472,0,1,0
637.081,323.619,0,1,0
653.079,324.434,0,1,0
639.035,324.523,0,1,0
680.978,324.669,0,0,0
644.647,325.905,0,1,0
652.268,326.389,0,1,0
665.755,327.567,0,1,0
675.27,327.608,0,1,0
631.213,327.95,0,1,0
643.6,328.542,0,1,0
668.535,329.06,0,1,0
658.985,329.159,0,0,0
651.423,329.337,0,1,0
646.127,329.862,0,1,0
683.672,330.534,0,0,0
666.442,331.637,0,1,0
682.478,331.858,0,0,0
640.783,333.145,0,1,0
649.948,333.168,0,1,0
663.551,333.265,0,0,0
624.463,333.342,0,1,0
645.513,334.213,0,1,0
632.527,334.935,0,1,0
639.959,335.242,0,1,0
670.422,336.607,0,1,0
647.217,340.107,0,0,0
685.94,340.389,0,0,0
620.777,341.34,0,0,0
618.936,341.409,0,0,0
679.985,341.547,0,0,0
627.324,341.603,0,1,0
639.416,342.035,0,1,0
622.928,342.459,0,1,0
662.056,342.529,0,1,0
676.484,342.75,0,1,0
642.366,345.063,0,1,0
639.621,345.609,0,0,0
630.04,346.568,0,1,0
646.7,346.681,0,1,0
625.209,346.771,0,1,0
650.768,347.282,0,1,0
672.056,347.548,0,0,0
629.259,347.766,0,1,0
654.751,347.881,0,1,0
656.628,348.501,0,1,0
660.134,348.671,0,1,0
667.984,349.415,0,1,0
642.738,349.951,0,1,0
652.024,349.986,0,1,0
671.291,350.525,0,1,0
637.791,350.903,0,1,0
649.556,351.032,0,1,0
654.517,352.398,0,1,0
659.838,353.262,0,1,0
648.966,356.048,0,1,0
669.789,357.397,0,0,0
665.373,359.929,0,1,0
624.855,360.424,0,0,0
662.42,360.72,0,1,0
626.761,363.811,0,0,0
667.14,364.033,0,0,0
637.609,364.503,0,0,0
648.763,364.824,0,0,0
638.583,365.65,0,0,0
666.254,366.738,0,0,0
653.469,370.728,0,0,0
650.43,371.572,0,0,0
661.43,372.276,0,0,0
153.879,308.064,1,0,1
178.29,308.199,1,0,2
166.838,308.485,1,0,2
153.41,309.122,1,0,1
153.636,309.867,1,0,1
148.658,310.898,1,0,1
170.83,311.777,1,0,2
181.997,312.281,1,0,2
151.534,315.214,1,1,1
158.234,316.942,1,1,1
156.903,318.774,1,1,1
131.505,318.993,1,0,3
171.829,319.959,1,1,2
188.385,321.231,1,0,2
175.094,321.902,1,1,2
149.332,322.096,1,1,1
132.401,322.735,1,0,3
150.449,322.89,1,1,1
172.762,324.576,1,1,2
178.86,324.684,1,1,2
129.898,326.107,1,0,3
140.855,327.583,1,0,3
167.174,328.263,1,1,2
163.921,328.34,1,1,2
145.897,328.558,1,1,1
180.488,328.618,1,1,2
125.823,328.684,1,0,3
154.945,329.416,1,0,1
188.031,330.014,1,0,2
174.682,330.318,1,0,2
162.439,330.402,1,1,2
128.484,330.468,1,1,3
156.03,330.695,1,0,1
187.152,331.229,1,1,2
168.092,331.83,1,1,2
129.107,332.022,1,1,3
129.6,333.61,1,1,3
158.713,334.341,1,1,2
169.774,334.662,1,1,2
191.52,334.977,1,1,2
133.87,335.02,1,1,3
160.971,335.471,1,1,2
185.668,335.604,1,1,2
200.468,335.644,1,0,2
164.317,335.97,1,1,2
142.494,336.65,1,0,1
197.979,337.757,1,0,2
192.739,338.016,1,1,2
123.22,338.794,1,1,3
132.062,338.832,1,1,3
184.485,339.211,1,1,2
162.725,339.915,1,1,2
136.333,340.328,1,0,3
167.759,340.476,1,1,2
188.627,340.491,1,1,2
166.321,342.129,1,1,2
159.853,342.331,1,1,2
193.875,342.382,1,1,2
152.072,342.404,1,0,2
197.029,342.743,1,0,2
132.796,343.359,1,0,3
176.53,343.547,1,0,2
179.363,343.574,1,0,2
178.037,343.672,1,0,2
152.655,345.182,1,0,2
165.121,345.513,1,1,2
162.034,345.997,1,1,2
125.206,346.962,1,0,3
171.972,349.879,1,1,2
191.181,349.959,1,0,2
161.773,350.404,1,1,2
168.823,350.884,1,1,2
127.327,350.908,1,0,3
182.901,351.725,1,1,2
183.617,352.579,1,1,2
175.568,353.932,1,1,2
156.466,354.278,1,0,2
159.181,354.447,1,0,2
184.109,355.875,1,0,2
144.133,356.156,1,0,2
163.283,357.159,1,0,2
174.195,357.187,1,1,2
185.038,359.301,1,1,2
146.451,359.416,1,1,2
142.978,361.95,1,1,2
134.443,361.955,1,0,2
194.452,363.123,1,0,2
144.727,363.41,1,1,2
172.193,364.859,1,1,2
142.127,365.116,1,1,2
186.492,366.136,1,0,2
163.71,366.165,1,1,2
154.581,366.177,1,1,2
141.478,367.346,1,1,2
139.807,367.959,1,1,2
147.813,369.185,1,1,2
138.191,369.528,1,0,2
156.592,370.709,1,1,2
138.571,371.407,1,0,2
176.65,371.485,1,1,2
157.497,371.658,1,1,2
183.168,372.223,1,0,2
170.311,372.819,1,1,2
181.366,373.854,1,0,2
151.856,375.167,1,1,2
165.883,375.174,1,1,2
177.629,375.408,1,0,2
155.613,377.032,1,1,2
152.479,377.285,1,1,2
155.358,377.929,1,0,2
179.727,378.364,1,0,2
147.366,379.114,1,0,2
162.91,380.567,1,0,2
337.718,305.692,2,0,4
338.624,306.106,2,0,4
329.298,307.033,2,1,4
322.76,307.044,2,0,4
342.994,310.67,2,0,4
351.887,311.603,2,0,4
333.539,311.89,2,1,4
333.868,312.928,2,1,4
319.884,313.587,2,1,4
335.147,314.891,2,1,4
321.18,315.663,2,0,4
325.111,316.065,2,1,4
328.436,316.801,2,1,4
356.246,320.109,2,1,4
357.739,321.053,2,1,4
341.53,321.295,2,0,4
309.119,321.986,2,0,4
367.37,322.193,2,0,4
314.309,322.429,2,0,4
324.706,322.709,2,1,4
315.665,323.192,2,0,4
350.748,323.821,2,1,4
366.213,324.547,2,0,4
369.885,325.104,2,0,4
345.193,326.957,2,1,4
323.167,328.544,2,1,4
352.146,328.862,2,1,4
353.396,329.17,2,1,4
319.294,329.545,2,0,4
332.038,329.567,2,0,4
334.586,329.567,2,0,4
355.725,329.737,2,1,4
364.513,330.463,2,1,4
376.024,330.619,2,0,4
371.565,331.405,2,1,4
345.661,333.121,2,1,4
342.261,333.749,2,1,4
320.544,334.019,2,1,4
370.213,334.867,2,1,4
371.977,335.02,2,1,4
336.719,335.237,2,1,4
359.632,336.229,2,1,4
330.693,336.872,2,0,4
303.768,337.46,2,0,4
344.49,338.303,2,1,4
323.992,338.852,2,1,4
343.402,339.059,2,1,4
334.993,339.566,2,1,4
318.342,340.531,2,1,4
311.678,340.689,2,1,4
307.329,340.702,2,1,4
373.097,340.763,2,0,4
354.668,341.4,2,1,4
368.188,341.876,2,1,4
342.46,342.193,2,1,4
295.095,342.319,2,0,4
349.378,342.593,2,0,4
331.047,343.179,2,0,4
304.788,343.217,2,1,4
306.04,344.25,2,1,4
371.168,345.096,2,1,4
300.119,345.111,2,0,4
357.02,345.129,2,1,4
318.411,345.202,2,1,4
310.511,345.281,2,1,4
312.171,345.928,2,1,4
338.189,348.672,2,1,4
312.98,349.579,2,1,4
361.789,349.989,2,0,4
328.638,350.035,2,0,4
301.754,350.545,2,0,4
336.078,350.882,2,0,4
340.122,351.188,2,0,4
349.132,351.455,2,1,4
361.162,352.626,2,0,4
316.539,353.64,2,0,4
327.318,353.692,2,0,4
316.021,354.83,2,1,4
368.832,354.848,2,0,4
362.763,354.907,2,0,4
338.883,358.015,2,1,4
326.846,358.512,2,0,4
365.499,359.163,2,0,4
341.805,361.755,2,1,4
309.967,361.84,2,1,4
337.131,362.059,2,1,4
330.765,363.646,2,1,4
308.677,364.606,2,0,4
304.473,365.008,2,0,4
309.395,365.09,2,0,4
314.833,365.398,2,1,4
308.096,366.369,2,0,4
346.037,366.652,2,1,4
339.705,367.928,2,1,4
317.885,368.544,2,1,4
340.258,369.252,2,1,4
343.329,369.994,2,1,4
347.617,370.365,2,1,4
315.049,372.453,2,1,4
351.49,372.812,2,0,4
321.703,372.978,2,1,4
327.576,373.535,2,0,4
313.86,374.769,2,1,4
358.554,376.035,2,0,4
345.291,376.266,2,1,4
322.171,376.74,2,0,4
331.361,377.574,2,0,4
349.633,380.861,2,0,4
326.059,381.239,2,0,4
321.474,383.121,2,0,4
465.741,40.127,3,0,5
482.456,41.754,3,0,5
477.011,43.279,3,0,5
476.6,45.718,3,0,5
488.985,46.419,3,0,5
490.389,46.649,3,0,5
459.989,48.062,3,0,5
451.672,48.477,3,0,5
447.604,51.804,3,0,5
456.12,52.193,3,1,5
447.401,52.68,3,1,5
489.694,53.469,3,0,5
489.323,53.989,3,0,5
474.738,54.167,3,1,5
468.284,54.237,3,1,5
487.319,54.287,3,1,5
478.584,54.568,3,1,5
517.589,55.822,3,0,5
490.101,56.147,3,1,5
516.314,56.174,3,0,5
453.824,56.455,3,1,5
464.638,57.017,3,1,5
445.339,57.294,3,1,5
507.47,57.687,3,0,5
480.505,59.468,3,1,5
454.31,59.578,3,1,5
446.989,60.668,3,1,5
520.495,60.697,3,0,5
457.219,61.058,3,1,5
501.55,61.489,3,0,5
508.426,61.924,3,1,5
447.115,62.044,3,1,5
442.165,62.166,3,0,5
498.974,62.522,3,1,5
463.971,62.675,3,1,5
519.726,64.114,3,0,5
467.813,64.479,3,0,5
509.907,64.625,3,1,5
515.12,66.087,3,1,5
485.224,67.012,3,0,5
452.837,67.247,3,1,5
502.674,67.575,3,1,5
523.466,67.773,3,0,6
488.187,67.923,3,0,5
504.803,68.302,3,1,5
466.572,68.819,3,1,5
461.595,69.35,3,1,5
473.674,69.556,3,1,5
431.04,69.589,3,0,5
456.452,70.104,3,1,5
450.642,70.156,3,1,5
500.674,70.16,3,1,5
494.982,70.178,3,1,5
512.411,71.274,3,1,5
461.568,72.37,3,1,5
504.405,73.147,3,0,5
449.195,73.234,3,1,5
524.047,73.32,3,0,6
444.002,73.804,3,0,5
503.446,73.822,3,1,5
490.326,74.669,3,1,5
444.186,74.773,3,1,5
443.042,75.007,3,1,5
476.081,75.411,3,1,5
443.575,75.477,3,1,5
516.205,77.533,3,0,6
484.653,78.147,3,1,5
455.329,78.197,3,1,5
459.305,78.72,3,1,5
495.572,78.745,3,1,5
425.956,78.906,3,0,5
526.738,80.445,3,1,6
528.601,80.789,3,1,6
493.7,81.478,3,1,5
470.216,82.183,3,0,5
471.17,82.281,3,0,5
477.29,82.318,3,0,5
536.043,82.472,3,0,6
529.99,82.646,3,1,6
441.622,82.712,3,1,5
482.255,82.785,3,1,5
488.474,83.054,3,1,5
474.061,83.219,3,0,5
531.936,83.234,3,1,6
513.167,84.628,3,0,5
494.467,84.637,3,0,5
535.227,85.103,3,0,6
529.089,85.565,3,1,6
456.32,85.624,3,0,5
518.369,85.695,3,0,6
511.716,85.906,3,0,5
492.166,86.233,3,0,5
448.946,86.545,3,1,5
432.501,87.168,3,0,5
525.191,87.662,3,1,6
497.048,88.247,3,0,5
525.932,88.422,3,1,6
437.223,89.016,3,1,5
429.847,89.107,3,0,5
521.958,89.828,3,1,6
517.274,90.571,3,0,6
537.606,91.828,3,0,6
436.353,91.968,3,1,5
506.119,92.784,3,0,5
527.511,93.643,3,0,6
424.294,97.509,3,0,5
441.896,97.95,3,0,5
436.16,99.51,3,1,5
434.226,100.897,3,1,5
444.57,101.574,3,0,5
428.855,108.992,3,0,5
438.753,110.45,3,1,5
429.191,112.407,3,1,5
437.0,112.594,3,1,5
438.797,115.729,3,0,5
421.602,117.717,3,0,5
439.119,119.693,3,0,5
437.638,120.246,3,1,5
445.168,121.036,3,0,5
423.173,123.604,3,0,5
426.709,125.924,3,0,5
428.665,126.795,3,1,5
419.133,127.199,3,0,5
435.422,127.915,3,1,5
445.818,130.619,3,0,5
441.056,131.792,3,1,5
449.75,132.161,3,0,5
436.787,132.524,3,0,5
423.113,133.675,3,1,5
439.334,133.911,3,0,5
423.694,134.56,3,1,5
420.737,134.844,3,0,5
433.38,135.975,3,1,5
427.845,139.381,3,1,5
455.69,139.93,3,0,5
433.728,140.543,3,1,5
427.535,140.842,3,1,5
